gene_id,gene_name,chromosome,start,end,essentiality,weighted_mean_mu_z
YDR302W,GPI11,Chromosome_IV,1067731,1068390,True,-0.006420474651565811
YDR395W,SXM1,Chromosome_IV,1263324,1266158,False,-0.17856935905568996
YDR228C,PCF11,Chromosome_IV,921926,923806,True,-0.6681360596138306
YDR405W,MRP20,Chromosome_IV,1277646,1278437,False,-0.08553515478190592
YDR099W,BMH2,Chromosome_IV,653607,654428,False,0.005689195711105893
YDL149W,ATG9,Chromosome_IV,184925,187918,False,-0.195027018799625
YDL130W-A,STF1,Chromosome_IV,229171,229431,False,0.17341825679455322
YDR349C,YPS7,Chromosome_IV,1172386,1174176,False,-0.4211111261168869
YDR342C,HXT7,Chromosome_IV,1154216,1155928,False,0.01365038931410089
YDR060W,MAK21,Chromosome_IV,570649,573726,True,-0.616454395849004
YDL029W,ARP2,Chromosome_IV,399340,400638,True,-0.8184189569496497
YDL046W,NPC2,Chromosome_IV,371240,371761,False,0.3047588998205298
YDL114W-A,YDL114W-A,Chromosome_IV,254935,255048,False,-0.7473168614925964
YDR360W,OPI7,Chromosome_IV,1194598,1195032,False,-0.6499302619217167
YDR169C,STB3,Chromosome_IV,792348,793889,False,-0.7094930190569123
YDL016C,YDL016C,Chromosome_IV,425570,425872,True,1.4591673420458817
YDR513W,GRX2,Chromosome_IV,1471017,1471448,False,0.35129269152587883
YDR350C,ATP22,Chromosome_IV,1176120,1178174,False,-0.6068298799684962
YDL105W,NSE4,Chromosome_IV,272389,273597,True,-0.7160722078443928
YDR298C,ATP5,Chromosome_IV,1058176,1058814,False,-0.8440257343798329
YDR381C-A,COI1,Chromosome_IV,1238312,1238850,False,-0.7746192406033406
YDL014W,NOP1,Chromosome_IV,427364,428347,True,-0.45595684580096246
YDL004W,ATP16,Chromosome_IV,443029,443511,True,-0.24423032252590904
YDL173W,PAR32,Chromosome_IV,148191,149078,False,-0.4761978502643163
YDL061C,RPS29B,Chromosome_IV,340628,340798,False,-0.8558744823163555
YDR247W,VHS1,Chromosome_IV,956013,957398,False,0.3236654971855795
YDR332W,IRC3,Chromosome_IV,1131001,1133070,False,-0.1062494829373046
YDL129W,YDL129W,Chromosome_IV,231024,231899,False,0.425334464399974
YDL142C,CRD1,Chromosome_IV,201719,202570,False,0.6576913647144224
YDL120W,YFH1,Chromosome_IV,245923,246447,True,-0.3639131837143457
YDR397C,NCB2,Chromosome_IV,1266366,1266898,True,-0.30434301617160375
YDL035C,GPR1,Chromosome_IV,389172,392057,False,-0.2658742144578697
YDR352W,YPQ2,Chromosome_IV,1181801,1182754,False,-0.11780512472699654
YDR070C,FMP16,Chromosome_IV,588098,588379,False,-0.268857582029512
YDR403W,DIT1,Chromosome_IV,1274602,1276212,False,-0.011627217171508856
YDR264C,AKR1,Chromosome_IV,996029,998323,False,-0.3313375634337513
YDR033W,MRH1,Chromosome_IV,508147,509109,False,0.5625634388833793
YDR004W,RAD57,Chromosome_IV,455201,456583,False,-0.12887155438737796
YDR246W,TRS23,Chromosome_IV,954288,954947,True,-0.3438152790107841
YDL033C,SLM3,Chromosome_IV,392659,393912,False,0.5176493034766384
YDR289C,RTT103,Chromosome_IV,1038280,1039509,False,-0.6136298034605404
YDR376W,ARH1,Chromosome_IV,1226822,1228303,True,-0.739255738100993
YDR024W,FYV1,Chromosome_IV,491017,491502,False,0.029512842942784362
YDR378C,LSM6,Chromosome_IV,1229349,1229609,False,-0.2863076183681052
YDR152W,GIR2,Chromosome_IV,765706,766503,False,0.33313948349105843
YDL080C,THI3,Chromosome_IV,310642,312471,False,0.334784737797179
YDR155C,CPR1,Chromosome_IV,768512,769000,False,1.5665826417900137
YDR348C,PAL1,Chromosome_IV,1170326,1171825,False,0.26919409815349654
YDL232W,OST4,Chromosome_IV,38487,38597,False,-0.5214517272613033
YDL096C,OPI6,Chromosome_IV,286998,287324,False,0.004734045706341855
YDL161W,ENT1,Chromosome_IV,167714,169078,False,-0.018190004162935612
YDR260C,SWM1,Chromosome_IV,976717,977229,False,0.6270582208155562
YDL026W,YDL026W,Chromosome_IV,404749,405060,False,-0.12667651483725273
YDR073W,SNF11,Chromosome_IV,592439,592948,False,-0.03617239827003754
YDR188W,CCT6,Chromosome_IV,836421,838061,True,-0.42842624496207876
YDR182W,CDC1,Chromosome_IV,827582,829057,True,-0.6205904553403297
YDL169C,UGX2,Chromosome_IV,158064,158735,False,0.1894369016850684
YDL148C,NOP14,Chromosome_IV,188154,190586,True,-0.28263323757350084
YDR057W,YOS9,Chromosome_IV,565927,567555,False,0.4848247699305318
YDR196C,CAB5,Chromosome_IV,850274,850999,True,-0.3152524266733567
YDR028C,REG1,Chromosome_IV,497835,500879,False,-0.3034003486908305
YDR135C,YCF1,Chromosome_IV,723004,727551,False,-0.029313986791699304
YDL154W,MSH5,Chromosome_IV,178334,181039,False,0.11518419419885056
YDR118W-A,YDR118W-A,Chromosome_IV,687768,687884,False,0.4581726681870167
YDR398W,UTP5,Chromosome_IV,1267471,1269402,True,-0.5663439151529667
YDR307W,PMT7,Chromosome_IV,1075865,1077853,False,0.12077342610007842
YDR341C,YDR341C,Chromosome_IV,1151803,1153626,True,-0.5838642507817835
YDR303C,RSC3,Chromosome_IV,1068729,1071386,True,-0.7194063988428178
YDR030C,RAD28,Chromosome_IV,501753,503273,False,0.4550339350142076
YDR072C,IPT1,Chromosome_IV,589761,591344,False,0.0428646557891732
YDR524C,AGE1,Chromosome_IV,1487542,1488990,False,-0.18902700430873257
YDL174C,DLD1,Chromosome_IV,145826,147589,False,0.3896216192412763
YDR511W,SDH7,Chromosome_IV,1470017,1470418,False,0.4866775604886038
YDR082W,STN1,Chromosome_IV,610441,611925,True,-0.46293743881034827
YDR522C,SPS2,Chromosome_IV,1483795,1485303,False,-0.31880696924010377
YDR311W,TFB1,Chromosome_IV,1085065,1086993,True,-0.42571435896717313
YDR372C,VPS74,Chromosome_IV,1221112,1222149,False,-0.1867571396073327
YDL135C,RDI1,Chromosome_IV,218680,219288,False,0.22571758900765712
YDR181C,SAS4,Chromosome_IV,825910,827355,False,0.10346481567302498
YDL123W,SNA4,Chromosome_IV,241418,241840,False,0.3438322772981192
YDR538W,PAD1,Chromosome_IV,1510902,1511630,False,0.5816167905002546
YDR138W,HPR1,Chromosome_IV,730578,732836,False,-0.3993543240826999
YDR204W,COQ4,Chromosome_IV,858137,859144,False,-0.502057574411913
YDL124W,YDL124W,Chromosome_IV,240259,241197,False,0.15409968605934574
YDR539W,FDC1,Chromosome_IV,1512094,1513605,False,0.1013593312446628
YDL163W,YDL163W,Chromosome_IV,166956,167258,True,0.383085961243931
YDR053W,YDR053W,Chromosome_IV,560249,560644,True,-0.77220037500054
YDR124W,YDR124W,Chromosome_IV,700315,701289,False,0.9722338632761006
YDR236C,FMN1,Chromosome_IV,935236,935892,True,-0.590249413630165
YDL221W,YDL221W,Chromosome_IV,62011,62562,True,0.7648328740667689
YDL176W,GID12,Chromosome_IV,142097,144223,False,-0.051033309597096406
YDR540C,IRC4,Chromosome_IV,1517136,1517675,False,-0.31987613765094985
YDR157W,YDR157W,Chromosome_IV,769931,770332,False,0.9951743759747782
YDL165W,CDC36,Chromosome_IV,164290,164865,True,-0.6392744850318713
YDL022C-A,YDL022C-A,Chromosome_IV,409808,410056,False,0.041530806134514785
YDR059C,UBC5,Chromosome_IV,569234,569770,False,0.38723691613334926
YDR233C,RTN1,Chromosome_IV,929470,930357,False,-0.32347908311325785
YDL051W,LHP1,Chromosome_IV,363952,364779,False,0.11053861972528183
YDL084W,SUB2,Chromosome_IV,305237,306577,True,-0.7410667295322126
YDR427W,RPN9,Chromosome_IV,1322205,1323386,True,-0.6783386326867259
YDR050C,TPI1,Chromosome_IV,555726,556472,True,-0.7831445104709759
YDR362C,TFC6,Chromosome_IV,1196679,1198697,True,-0.46457358184913433
YDR079W,PET100,Chromosome_IV,603064,603399,False,0.4570037033866793
YDR087C,RRP1,Chromosome_IV,617470,618306,True,-0.7490201755119656
YDR527W,RBA50,Chromosome_IV,1491094,1492413,True,0.14984945156583795
YDL058W,USO1,Chromosome_IV,345665,351037,True,-0.3738157197290309
YDL175C,AIR2,Chromosome_IV,144484,145518,False,-0.06619530518311714
YDL203C,ACK1,Chromosome_IV,96082,97953,False,-0.22568525276001414
YDR107C,TMN2,Chromosome_IV,669016,671034,False,-0.10731994695633312
YDR093W,DNF2,Chromosome_IV,631282,636120,False,0.1799430654798878
YDR013W,PSF1,Chromosome_IV,473157,473783,True,0.0798123061833101
YDL197C,ASF2,Chromosome_IV,104917,106494,False,-0.17854696431269376
YDR392W,SPT3,Chromosome_IV,1258696,1259709,False,-0.34735191018971995
YDL011C,YDL011C,Chromosome_IV,432308,432631,False,0.39381223337440824
YDR209C,YDR209C,Chromosome_IV,871036,871449,False,-0.10575682358120496
YDR238C,SEC26,Chromosome_IV,937895,940816,True,-0.6192368608451995
YDR353W,TRR1,Chromosome_IV,1183299,1184258,True,-0.5496681665425235
YDR309C,GIC2,Chromosome_IV,1079048,1080199,False,0.03563957770097353
YDR014W,RAD61,Chromosome_IV,474046,475989,False,0.28382308464872913
YDL085C-A,YDL085C-A,Chromosome_IV,302464,302670,False,0.7691037156190964
YDR357C,CNL1,Chromosome_IV,1189199,1189567,False,0.8621154750555193
YDR363W,ESC2,Chromosome_IV,1199183,1200553,False,-0.06718687569442684
YDR537C,YDR537C,Chromosome_IV,1510856,1511461,False,0.47610887443811595
YDR203W,YDR203W,Chromosome_IV,857682,857999,False,-0.2268873073676189
YDL125C,HNT1,Chromosome_IV,239019,239606,False,-0.4343563217093141
YDL192W,ARF1,Chromosome_IV,116321,116866,False,0.10025052947355781
YDR095C,YDR095C,Chromosome_IV,636117,636527,False,0.7288541218978012
YDL236W,PHO13,Chromosome_IV,32296,33234,False,-0.4249562152753671
YDL224C,WHI4,Chromosome_IV,54397,56346,False,0.20491177750160877
YDR147W,EKI1,Chromosome_IV,751631,753235,False,0.2249129140847743
YDR335W,MSN5,Chromosome_IV,1141168,1144842,False,-0.46670873949099906
YDR530C,APA2,Chromosome_IV,1496791,1497768,False,0.17054559825332175
YDR358W,GGA1,Chromosome_IV,1190059,1191732,False,0.12602733641568514
YDR034W-B,CPP3,Chromosome_IV,521314,521469,False,0.2977121323528139
YDR249C,YDR249C,Chromosome_IV,958681,959802,False,0.20781272976020032
YDR101C,ARX1,Chromosome_IV,655686,657467,False,-0.36817608991705997
YDR517W,GRH1,Chromosome_IV,1477239,1478357,False,-0.1535686950738593
YDR281C,PHM6,Chromosome_IV,1022007,1022321,False,-0.2134647562270617
YDR441C,APT2,Chromosome_IV,1344517,1345062,False,0.506285462161115
YDL088C,ASM4,Chromosome_IV,298417,300003,False,-0.09480249401062588
YDR161W,ACL4,Chromosome_IV,779043,780206,False,-0.7366324061838693
YDL081C,RPP1A,Chromosome_IV,309802,310122,False,-0.8415651152614878
YDL071C,YDL071C,Chromosome_IV,330666,331040,False,0.16874070709283595
YDR262W,YDR262W,Chromosome_IV,993134,993952,False,-0.3581054497515095
YDR480W,DIG2,Chromosome_IV,1417399,1418370,False,0.8634983025727059
YDR385W,EFT2,Chromosome_IV,1243230,1245758,False,-0.35335310973428485
YDR282C,MRX10,Chromosome_IV,1023511,1024755,False,0.41607588763912345
YDL018C,ERP3,Chromosome_IV,422833,423510,False,0.463370665149957
YDR317W,HIM1,Chromosome_IV,1102184,1103428,False,-0.07034759854084384
YDR493W,MZM1,Chromosome_IV,1436217,1436588,False,-0.6492665693071872
YDR285W,ZIP1,Chromosome_IV,1032436,1035063,False,-0.22615721055094065
YDR356W,SPC110,Chromosome_IV,1186107,1188941,True,-0.4625845224498822
YDL117W,CYK3,Chromosome_IV,248581,251238,False,-0.4088872160859125
YDR042C,YDR042C,Chromosome_IV,540601,541203,False,-0.5590793999363316
YDR462W,MRPL28,Chromosome_IV,1386073,1386516,False,-0.11568565920317199
YDR415C,YDR415C,Chromosome_IV,1297037,1298161,False,0.03640108717622047
YDR399W,HPT1,Chromosome_IV,1270068,1270733,False,-0.1266517794592139
YDR337W,MRPS28,Chromosome_IV,1146319,1147179,False,-0.1698796795549902
YDR429C,TIF35,Chromosome_IV,1324477,1325301,True,-0.6627114978970864
YDR420W,HKR1,Chromosome_IV,1306267,1311675,False,-0.2842175922600438
YDR208W,MSS4,Chromosome_IV,868224,870563,True,-0.31126108232212674
YDR175C,RSM24,Chromosome_IV,813193,814152,False,-0.7675269003739883
YDL007C-A,YDL007C-A,Chromosome_IV,436567,436824,False,-0.44717294256331885
YDL069C,CBS1,Chromosome_IV,333121,333810,False,-0.5427913131660337
YDL110C,TMA17,Chromosome_IV,264512,264964,False,0.21281251534158818
YDR190C,RVB1,Chromosome_IV,840604,841995,True,-0.6418848540690396
YDR421W,ARO80,Chromosome_IV,1312040,1314892,False,-0.19137059874243426
YDL159C-B,YDL159C-B,Chromosome_IV,173056,173232,False,-0.022724768660295724
YDR223W,CRF1,Chromosome_IV,912099,913502,False,0.1303187438524196
YDL017W,CDC7,Chromosome_IV,424209,425732,True,-0.39049211953780266
YDR008C,YDR008C,Chromosome_IV,462252,462602,False,0.6289815170702091
YDR166C,SEC5,Chromosome_IV,786306,789221,True,-0.693274714012891
YDR477W,SNF1,Chromosome_IV,1412373,1414274,False,-0.31172656789067454
YDL187C,YDL187C,Chromosome_IV,125509,125838,False,-0.7973644936448412
YDR048C,YDR048C,Chromosome_IV,553084,553398,False,0.7275702996723503
YDL086W,YDL086W,Chromosome_IV,301413,302234,False,0.34168620943564315
YDR277C,MTH1,Chromosome_IV,1014401,1015702,False,0.3033190550159894
YDR237W,MRPL7,Chromosome_IV,936615,937493,False,-0.41256719225581334
YDL178W,DLD2,Chromosome_IV,139522,141114,False,-0.0388231737194944
YDR486C,VPS60,Chromosome_IV,1427431,1428120,False,0.4581822070842753
YDR488C,PAC11,Chromosome_IV,1429188,1430789,False,-0.3662680276274323
YDR256C,CTA1,Chromosome_IV,968133,969680,False,0.23444125815607914
YDR461W,MFA1,Chromosome_IV,1385176,1385286,False,0.8132724978695256
YDR081C,PDC2,Chromosome_IV,607304,610081,True,-0.6664272942397707
YDL104C,QRI7,Chromosome_IV,273653,274876,False,-0.0205274098811294
YDR383C,NKP1,Chromosome_IV,1239960,1240676,False,0.11669860011968591
YDR127W,ARO1,Chromosome_IV,704484,709250,False,-0.27101048567076746
YDR370C,DXO1,Chromosome_IV,1217782,1219110,False,0.09108633713035436
YDR304C,CPR5,Chromosome_IV,1071880,1072557,False,0.45096242107366064
YDR334W,SWR1,Chromosome_IV,1135932,1140476,False,0.3645137330706846
YDR119W-A,COX26,Chromosome_IV,691014,691214,False,0.9015268792402301
YDR069C,DOA4,Chromosome_IV,584939,587719,False,-0.7117119066853484
YDR146C,SWI5,Chromosome_IV,748613,750742,False,-0.5956658128917682
YDR327W,YDR327W,Chromosome_IV,1125302,1125628,True,-0.009780370588257316
YDR177W,UBC1,Chromosome_IV,816878,817525,True,-0.23723378957309435
YDR110W,FOB1,Chromosome_IV,676102,677802,False,-0.21525367841771328
YDR194W-A,YDR194W-A,Chromosome_IV,848071,848223,False,-0.4636817075545378
YDR520C,URC2,Chromosome_IV,1481085,1483403,False,0.19811001775414397
YDL005C,MED2,Chromosome_IV,441014,442309,False,-0.32134734630986894
YDR354C-A,YDR354C-A,Chromosome_IV,1185139,1185282,False,0.6231703227549193
YDR176W,NGG1,Chromosome_IV,814452,816560,False,-0.4378851772472741
YDR497C,ITR1,Chromosome_IV,1443713,1445467,False,0.3123683071022326
YDR384C,ATO3,Chromosome_IV,1241204,1242031,False,0.749338169542463
YDL010W,GRX6,Chromosome_IV,432330,433025,False,-0.11686873888192326
YDR118W,APC4,Chromosome_IV,685882,687840,True,-0.30277340863651564
YDR269C,YDR269C,Chromosome_IV,1005665,1005988,False,-0.5088149289513499
YDR254W,CHL4,Chromosome_IV,965113,966489,False,-0.3307141098625173
YDR294C,DPL1,Chromosome_IV,1050459,1052228,False,0.20457441244274222
YDR098C,GRX3,Chromosome_IV,644178,644930,False,0.4643400870695269
YDR207C,UME6,Chromosome_IV,865012,867522,False,-0.24841877633849227
YDR463W,STP1,Chromosome_IV,1386816,1388375,False,-0.1958343624696918
YDR545C-A,YDR545C-A,Chromosome_IV,1530863,1531342,False,-0.32763700009610647
YDR388W,RVS167,Chromosome_IV,1250186,1251634,False,-0.07255856464329805
YDL217C,TIM22,Chromosome_IV,67983,68606,True,-0.644142338979324
YDR295C,HDA2,Chromosome_IV,1052623,1054647,False,-0.14404220967444586
YDR524C-A,YDR524C-A,Chromosome_IV,1489871,1489990,False,0.0135972429368966
YDR435C,PPM1,Chromosome_IV,1332983,1333969,False,-0.3829156272453482
YDR143C,SAN1,Chromosome_IV,742042,743874,False,-0.3865628569041895
YDR183C-A,YDR183C-A,Chromosome_IV,830397,830654,False,0.8445513956132819
YDR221W,GTB1,Chromosome_IV,907330,909438,False,0.12699345751839802
YDR473C,PRP3,Chromosome_IV,1404445,1405854,True,-0.4200228730063447
YDR313C,PIB1,Chromosome_IV,1089219,1090079,False,0.5939018903792503
YDR404C,RPB7,Chromosome_IV,1276654,1277169,True,-0.6775501152982475
YDL085W,NDE2,Chromosome_IV,303211,304848,False,0.38779221402029496
YDR258C,HSP78,Chromosome_IV,971808,974243,False,0.5106005799961152
YDL082W,RPL13A,Chromosome_IV,308424,309388,False,-0.03104267110408293
YDR509W,YDR509W,Chromosome_IV,1468226,1468573,False,-0.21389910701947462
YDR219C,MFB1,Chromosome_IV,905455,906852,False,-0.6746656273338701
YDR400W,URH1,Chromosome_IV,1271063,1272085,False,0.40019866599472803
YDR428C,BNA7,Chromosome_IV,1323454,1324239,False,0.26209222801456145
YDR347W,MRP1,Chromosome_IV,1169178,1170143,False,-0.11600032220558355
YDL079C,MRK1,Chromosome_IV,312951,314748,False,0.04347135063422287
YDL235C,YPD1,Chromosome_IV,33415,33918,True,-0.8753520246718947
YDR199W,YDR199W,Chromosome_IV,854175,854540,False,0.3877666101301172
YDL131W,LYS21,Chromosome_IV,227393,228715,False,0.5001737883958504
YDL198C,GGC1,Chromosome_IV,103649,104551,False,-0.7459060799706786
YDR476C,YDR476C,Chromosome_IV,1410453,1411127,False,0.019159516788094643
YDR396W,YDR396W,Chromosome_IV,1266295,1266795,True,-0.1570018763349143
YDR250C,YDR250C,Chromosome_IV,960086,960361,False,1.310367328766878
YDL189W,RBS1,Chromosome_IV,122216,123589,False,-0.25243875818160855
YDL087C,LUC7,Chromosome_IV,300214,300999,True,-0.6621701564810015
YDR230W,YDR230W,Chromosome_IV,926223,926570,False,0.8997808556594799
YDR344C,YDR344C,Chromosome_IV,1162006,1162449,False,0.6601092052435331
YDR472W,TRS31,Chromosome_IV,1403322,1404173,True,-0.5551743838760748
YDR029W,YDR029W,Chromosome_IV,501100,501414,False,-0.42633027656423944
YDR515W,SLF1,Chromosome_IV,1473429,1474772,False,-0.6801181043182101
YDR085C,AFR1,Chromosome_IV,614288,616150,False,0.06477272101996367
YDR532C,KRE28,Chromosome_IV,1499396,1500553,False,-0.35604323366023566
YDR232W,HEM1,Chromosome_IV,927452,929098,True,-0.5778714459913674
YDR287W,INM2,Chromosome_IV,1035995,1036873,False,0.017046212548044806
YDR393W,SHE9,Chromosome_IV,1259901,1261271,False,-0.10387400402105094
YDL106C,PHO2,Chromosome_IV,270222,271901,False,0.084392823265969
YDR410C,STE14,Chromosome_IV,1292372,1293091,False,0.9401180273196365
YDR475C,JIP4,Chromosome_IV,1407464,1410094,False,-0.10924504971083121
YDR543C,YDR543C,Chromosome_IV,1524634,1524933,False,-0.08619308790399807
YDL001W,RMD1,Chromosome_IV,447984,449276,False,0.6627842017942489
YDR167W,TAF10,Chromosome_IV,789449,790069,True,-0.27080907821654726
YDL126C,CDC48,Chromosome_IV,236157,238664,True,-0.3305229304384688
YDR148C,KGD2,Chromosome_IV,753675,755066,False,-0.42187924594677656
YDR521W,YDR521W,Chromosome_IV,1483141,1483476,False,-0.0828502410399948
YDL222C,FMP45,Chromosome_IV,60872,61801,False,0.09073751121575528
YDR452W,PPN1,Chromosome_IV,1362878,1364902,False,0.32243474200236705
YDR005C,MAF1,Chromosome_IV,456836,458103,False,-0.3476533455158917
YDR442W,YDR442W,Chromosome_IV,1345647,1346039,False,0.9071603728874648
YDR451C,YHP1,Chromosome_IV,1361120,1362181,False,-0.11544306776786455
YDR108W,TRS85,Chromosome_IV,671269,673365,False,-0.1809316469756973
YDR293C,SSD1,Chromosome_IV,1045640,1049392,False,-0.13293448567112492
YDL210W,UGA4,Chromosome_IV,84270,85985,False,0.254656497235652
YDL158C,YDL158C,Chromosome_IV,173866,174174,False,0.40110803343505347
YDR105C,TMS1,Chromosome_IV,665349,666770,False,0.4996297349358638
YDL183C,MRX19,Chromosome_IV,130871,131833,False,0.374734342827484
YDL181W,INH1,Chromosome_IV,135179,135436,False,-0.40680571038575336
YDR142C,PEX7,Chromosome_IV,740473,741600,False,0.10400262540630661
YDL032W,YDL032W,Chromosome_IV,393690,394001,False,0.3852256524721737
YDR528W,HLR1,Chromosome_IV,1494586,1495857,False,0.14022059125056005
YDL133C-A,RPL41B,Chromosome_IV,221724,221801,False,-0.41464741705336466
YDR391C,IAT4,Chromosome_IV,1257358,1258056,False,0.018715196568809274
YDR389W,SAC7,Chromosome_IV,1252537,1254501,False,-0.5817797490713864
YDR417C,YDR417C,Chromosome_IV,1301555,1301926,False,-0.43241287835724146
YDR017C,KCS1,Chromosome_IV,479115,482267,False,-0.37892417053191424
YDR274C,YDR274C,Chromosome_IV,1011589,1011960,False,1.4852470886664335
YDR174W,HMO1,Chromosome_IV,812110,812850,False,-0.48531300457506654
YDR339C,FCF1,Chromosome_IV,1149951,1150520,True,-0.8328349048416726
YDL240W,LRG1,Chromosome_IV,22823,25876,False,-0.40020484096672426
YDL143W,CCT4,Chromosome_IV,199996,201582,True,-0.6203208717507083
YDR482C,CWC21,Chromosome_IV,1420431,1420838,False,1.25826727396887
YDR406W,PDR15,Chromosome_IV,1279210,1283799,False,0.05243601431059776
YDL144C,YDL144C,Chromosome_IV,198662,199732,False,0.7604919675231244
YDR280W,RRP45,Chromosome_IV,1020747,1021664,True,-0.6777742440971586
YDL243C,AAD4,Chromosome_IV,17577,18566,False,-0.14188110011527097
YDL050C,YDL050C,Chromosome_IV,364446,364817,False,0.1308520374894816
YDL218W,YDL218W,Chromosome_IV,66493,67446,False,-0.1492276407975031
YDR122W,KIN1,Chromosome_IV,694700,697894,False,0.16775050891587961
YDL119C,HEM25,Chromosome_IV,246689,247612,False,0.2428145264379749
YDR125C,ECM18,Chromosome_IV,701397,702758,False,-0.27952294773265335
YDR330W,UBX5,Chromosome_IV,1127872,1129374,False,0.03255013637239607
YDL234C,GYP7,Chromosome_IV,34237,36477,False,0.15263314476565862
YDL043C,PRP11,Chromosome_IV,375680,376480,True,-0.35410744342110495
YDR224C,HTB1,Chromosome_IV,914317,914712,True,-0.7029736975083088
YDR090C,ILT1,Chromosome_IV,625066,625998,False,0.34895791181534225
YDL137W,ARF2,Chromosome_IV,216529,217074,False,0.19540053605161561
YDR503C,LPP1,Chromosome_IV,1455042,1455866,False,0.674810940531463
YDR078C,SHU2,Chromosome_IV,602198,602869,False,0.6293909316295533
YDL150W,RPC53,Chromosome_IV,183343,184611,True,-0.594610666061662
YDR447C,RPS17B,Chromosome_IV,1354829,1355553,False,-0.20711680338196978
YDR491C,YDR491C,Chromosome_IV,1434500,1434991,False,0.37394091007190655
YDL049C,KNH1,Chromosome_IV,365068,365874,False,0.50735106330516
YDL219W,DTD1,Chromosome_IV,65242,65765,False,-0.22556500408340086
YDR266C,HEL2,Chromosome_IV,1000104,1002023,False,-0.397696638086594
YDR229W,IVY1,Chromosome_IV,924785,926146,False,-0.16873178720148668
YDR306C,PFU1,Chromosome_IV,1073735,1075171,False,0.03367911296911167
YDR434W,GPI17,Chromosome_IV,1331237,1332841,True,-0.44286803271749603
YDR226W,ADK1,Chromosome_IV,916486,917154,False,0.43639318372380376
YDL247W-A,YDL247W-A,Chromosome_IV,3762,3836,False,0.081880813412688
YDL227C,HO,Chromosome_IV,46271,48031,False,-0.06430575719158287
YDR063W,AIM7,Chromosome_IV,578663,579112,False,1.300511391073244
YDR371C-A,YDR371C-A,Chromosome_IV,1219509,1219613,False,1.1700442056382596
YDR542W,PAU10,Chromosome_IV,1523249,1523611,False,-0.49940913475778775
YDR495C,VPS3,Chromosome_IV,1438115,1441150,False,-0.5060463438548295
YDL238C,GUD1,Chromosome_IV,28985,30454,False,-0.17058718718011634
YDR433W,YDR433W,Chromosome_IV,1329600,1330040,False,-0.5254364780704478
YDR351W,SBE2,Chromosome_IV,1178666,1181260,False,-0.33151847587628736
YDR193W,YDR193W,Chromosome_IV,844554,844952,False,0.7350963141631748
YDL138W,RGT2,Chromosome_IV,213351,215642,False,0.058775055730245135
YDL244W,THI13,Chromosome_IV,16204,17226,False,-0.3177157569088632
YDR123C,INO2,Chromosome_IV,698554,699468,False,-0.06265506628299382
YDR408C,ADE8,Chromosome_IV,1288215,1288859,False,-0.05757865864863784
YDL023C,YDL023C,Chromosome_IV,411761,412081,False,0.392747895365102
YDL009C,YDL009C,Chromosome_IV,432925,433248,False,-0.645399196027247
YDR165W,TRM82,Chromosome_IV,784871,786205,False,-0.4888030960475441
